Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
Zn, Zinco, 65.38, 4, 12, Sólido
Rb, Rubídio, 85.468, 5, 1, Sólido
He, Hélio, 4.002, 1, 18, Gás
S, Enxofre, 32.06, 3, 16, Sólido
Li, Lítio, 6.94, 2, 1, Sólido
Na, Sódio, 22.989, 3, 1, Sólido
Cr, Cromo, 51.996, 4, 6, Sólido
Mg, Magnésio, 24.305, 3, 2, Sólido
Fe, Ferro, 55.845, 4, 8, Sólido
O, Oxigênio, 15.999, 2, 16, Gás
F, Flúor, 18.998, 2, 17, Gás
Ne, Neon, 20.179, 2, 18, Gás
B, Boro, 10.81, 2, 13, Sólido
C, Carbono, 12.011, 2, 14, Gás
K, Potássio, 39.098, 4, 1, Sólido
